EmploymentField,EmploymentStatus,Gender,LanguageAtHome,JobWherePref,SchoolDegree,Income
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,15000.0
finance,Employed for wages,male,French,in an office with other developers,bachelor's degree,40000.0
sales,Employed for wages,female,English,from home,bachelor's degree,55000.0
law enforcement and fire and rescue,Employed for wages,male,English,from home,"some college credit, no degree",46000.0
software development and IT,Employed for wages,male,Spanish,in an office with other developers,"trade, technical, or vocational training",12000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,38000.0
education,Employed for wages,male,English,in an office with other developers,Ph.D.,12500.0
software development and IT,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),17000.0
software development and IT,Self-employed business owner,male,English,in an office with other developers,"some college credit, no degree",35000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,6000.0
education,Employed for wages,male,French,from home,master's degree (non-professional),26000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,bachelor's degree,20000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,58000.0
software development and IT,Employed for wages,male,Hindi,from home,master's degree (non-professional),10000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",115000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,88000.0
finance,Employed for wages,male,English,from home,bachelor's degree,61000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",100000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,35000.0
transportation,Employed for wages,male,English,in an office with other developers,bachelor's degree,65000.0
food and beverage,Employed for wages,male,Spanish,no preference,"trade, technical, or vocational training",45000.0
food and beverage,Employed for wages,male,English,no preference,bachelor's degree,30000.0
education,Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),22000.0
"farming, fishing, and forestry",Employed for wages,female,English,in an office with other developers,"some college credit, no degree",6000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",10000.0
law enforcement and fire and rescue,Employed for wages,male,English,no preference,bachelor's degree,14000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,45000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",75000.0
health care,Employed for wages,male,English,in an office with other developers,associate's degree,50000.0
sales,Employed for wages,male,Haitian Creole,in an office with other developers,"some college credit, no degree",17000.0
education,Employed for wages,male,Japanese,in an office with other developers,master's degree (non-professional),40000.0
software development and IT,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),57000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,master's degree (non-professional),80000.0
education,Employed for wages,female,English,from home,Ph.D.,40000.0
architecture or physical engineering,Employed for wages,male,English,in an office with other developers,bachelor's degree,68000.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,48000.0
transportation,Employed for wages,female,English,in an office with other developers,bachelor's degree,25000.0
software development and IT,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),34000.0
software development and IT,Employed for wages,male,English,from home,master's degree (non-professional),56000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",70000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",25000.0
"farming, fishing, and forestry",Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
education,Employed for wages,female,English,from home,bachelor's degree,56374.0
construction and extraction,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",35000.0
education,Employed for wages,male,English,from home,bachelor's degree,53000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",41200.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",55000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",39000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),63000.0
food and beverage,Employed for wages,female,Spanish,in an office with other developers,bachelor's degree,31000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",52000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,27000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",150000.0
software development and IT,Employed for wages,male,Spanish,in an office with other developers,high school diploma or equivalent (GED),58000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",50000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",15000.0
office and administrative support,Employed for wages,male,English,no preference,"some college credit, no degree",27000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,60000.0
sales,Employed for wages,male,English,no preference,associate's degree,61000.0
health care,Employed for wages,male,English,from home,"some college credit, no degree",17000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,25000.0
office and administrative support,Employed for wages,female,English,from home,associate's degree,29000.0
software development and IT,Employed for wages,male,Russian,no preference,master's degree (non-professional),130000.0
food and beverage,Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
health care,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",15000.0
"farming, fishing, and forestry",Employed for wages,male,English,from home,master's degree (non-professional),40000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,100000.0
office and administrative support,Employed for wages,female,Spanish,in an office with other developers,bachelor's degree,30000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,no preference,associate's degree,25000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,bachelor's degree,33000.0
construction and extraction,Employed for wages,male,English,no preference,bachelor's degree,58000.0
software development and IT,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),30000.0
education,Employed for wages,male,English,no preference,master's degree (non-professional),50000.0
transportation,Employed for wages,male,English,no preference,"some college credit, no degree",25000.0
transportation,Self-employed freelancer,female,English,in an office with other developers,bachelor's degree,20000.0
transportation,Employed for wages,male,Ukrainian,no preference,some high school,8000.0
software development and IT,Employed for wages,male,English,from home,bachelor's degree,90000.0
office and administrative support,Employed for wages,female,English,no preference,"trade, technical, or vocational training",70000.0
education,Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),42000.0
office and administrative support,Employed for wages,female,English,from home,bachelor's degree,35000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,53000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,bachelor's degree,50000.0
software development and IT,Employed for wages,female,Italian,in an office with other developers,bachelor's degree,17000.0
education,Employed for wages,female,English,from home,master's degree (non-professional),20000.0
food and beverage,Employed for wages,male,English,in an office with other developers,associate's degree,18000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,36000.0
food and beverage,Employed for wages,male,English,in an office with other developers,Ph.D.,36000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,32000.0
software development and IT,Employed for wages,male,Tagalog,no preference,master's degree (non-professional),30000.0
finance,Self-employed business owner,male,English,no preference,"some college credit, no degree",8000.0
sales,Employed for wages,female,English,no preference,bachelor's degree,32000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",36000.0
food and beverage,Employed for wages,male,English,in an office with other developers,bachelor's degree,30000.0
finance,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),100000.0
office and administrative support,Employed for wages,male,Spanish,from home,high school diploma or equivalent (GED),10000.0
office and administrative support,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,30000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,"trade, technical, or vocational training",15000.0
office and administrative support,Employed for wages,female,English,from home,bachelor's degree,10000.0
education,Self-employed freelancer,male,English,from home,bachelor's degree,30000.0
software development and IT,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),95000.0
software development and IT,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,9000.0
transportation,Employed for wages,male,English,no preference,"some college credit, no degree",22000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,46500.0
education,Employed for wages,female,English,no preference,bachelor's degree,32000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,52000.0
software development and IT,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",85000.0
food and beverage,Employed for wages,male,English,in an office with other developers,associate's degree,32000.0
education,Employed for wages,female,English,no preference,master's degree (non-professional),90000.0
sales,Employed for wages,male,English,no preference,bachelor's degree,16000.0
transportation,Self-employed freelancer,female,English,in an office with other developers,associate's degree,28000.0
sales,Employed for wages,male,Polish,in an office with other developers,master's degree (non-professional),12000.0
sales,Employed for wages,female,English,no preference,associate's degree,32000.0
software development and IT,Employed for wages,male,Portuguese,from home,bachelor's degree,75000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
software development and IT,Self-employed business owner,male,Persian,in an office with other developers,bachelor's degree,40000.0
transportation,Employed for wages,male,English,in an office with other developers,associate's degree,78000.0
education,Employed for wages,male,English,no preference,"professional degree (MBA, MD, JD, etc.)",40000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",36000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,19000.0
health care,Employed for wages,female,English,from home,bachelor's degree,40000.0
transportation,Employed for wages,male,Portuguese,from home,"some college credit, no degree",90000.0
sales,Employed for wages,male,English,in an office with other developers,bachelor's degree,84000.0
software development,Employed for wages,male,Telugu,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",42000.0
health care,Employed for wages,male,English,from home,high school diploma or equivalent (GED),30000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),14000.0
health care,Employed for wages,male,English,in an office with other developers,bachelor's degree,40000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,high school diploma or equivalent (GED),27000.0
finance,Employed for wages,male,English,in an office with other developers,bachelor's degree,50000.0
software development,Employed for wages,female,English,in an office with other developers,bachelor's degree,45000.0
health care,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,8500.0
food and beverage,Employed for wages,male,English,from home,bachelor's degree,30000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,bachelor's degree,61000.0
sales,Employed for wages,male,Spanish,in an office with other developers,high school diploma or equivalent (GED),58000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",26000.0
sales,Self-employed freelancer,male,Spanish,in an office with other developers,bachelor's degree,36000.0
education,Employed for wages,male,English,from home,"some college credit, no degree",42000.0
education,Employed for wages,male,English,in an office with other developers,bachelor's degree,28000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",42000.0
law enforcement and fire and rescue,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",150000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",15000.0
food and beverage,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),15000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,high school diploma or equivalent (GED),10000.0
finance,Employed for wages,male,English,from home,bachelor's degree,65000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,associate's degree,38000.0
"arts, entertainment, sports, or media",Employed for wages,male,English,from home,no high school (secondary school),200000.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",32000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,97500.0
office and administrative support,Employed for wages,female,English,in an office with other developers,high school diploma or equivalent (GED),35000.0
food and beverage,Employed for wages,male,Serbo-Croatian,in an office with other developers,master's degree (non-professional),9000.0
food and beverage,Employed for wages,male,English,no preference,bachelor's degree,69000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"trade, technical, or vocational training",40000.0
sales,Employed for wages,male,English,in an office with other developers,associate's degree,70000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,66000.0
finance,Employed for wages,female,Spanish,in an office with other developers,bachelor's degree,14500.0
software development and IT,Employed for wages,male,English,no preference,associate's degree,32000.0
office and administrative support,Employed for wages,male,English,no preference,"some college credit, no degree",36000.0
architecture or physical engineering,Employed for wages,male,Russian,in an office with other developers,master's degree (non-professional),6000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,56000.0
office and administrative support,Employed for wages,male,English,no preference,bachelor's degree,40000.0
education,Employed for wages,female,English,in an office with other developers,master's degree (non-professional),12000.0
office and administrative support,Employed for wages,female,English,from home,master's degree (non-professional),35000.0
office and administrative support,Employed for wages,male,English,from home,bachelor's degree,50000.0
office and administrative support,Employed for wages,male,English,from home,associate's degree,16000.0
software development and IT,Self-employed freelancer,male,English,from home,bachelor's degree,7000.0
sales,Employed for wages,male,Romanian,no preference,"some college credit, no degree",62000.0
construction and extraction,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",45000.0
sales,Employed for wages,male,English,from home,"some college credit, no degree",50000.0
health care,Employed for wages,male,Spanish,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",60000.0
software development and IT,Self-employed freelancer,male,Serbo-Croatian,in an office with other developers,bachelor's degree,20000.0
software development and IT,Self-employed freelancer,male,Spanish,from home,"some college credit, no degree",200000.0
transportation,Employed for wages,male,Yoruba,in an office with other developers,bachelor's degree,100000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,50000.0
software development and IT,Employed for wages,male,English,from home,"professional degree (MBA, MD, JD, etc.)",70000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,30000.0
software development and IT,Self-employed freelancer,male,Persian,from home,master's degree (non-professional),60000.0
office and administrative support,Employed for wages,male,Portuguese,in an office with other developers,bachelor's degree,25000.0
sales,Employed for wages,female,English,in an office with other developers,bachelor's degree,40000.0
health care,Employed for wages,male,English,no preference,bachelor's degree,50000.0
office and administrative support,Employed for wages,male,Spanish,no preference,associate's degree,22000.0
software development and IT,Self-employed freelancer,male,Serbian,in an office with other developers,bachelor's degree,20000.0
software development and IT,Self-employed freelancer,male,Telugu,in an office with other developers,bachelor's degree,40000.0
software development and IT,Employed for wages,male,Ukrainian,in an office with other developers,master's degree (non-professional),30000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,36000.0
software development,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,60000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
education,Employed for wages,male,English,in an office with other developers,associate's degree,48000.0
education,Employed for wages,male,English,in an office with other developers,master's degree (non-professional),24000.0
food and beverage,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",36000.0
sales,Employed for wages,male,Yue (Cantonese) Chinese,in an office with other developers,high school diploma or equivalent (GED),36000.0
food and beverage,Employed for wages,female,Kurdish,in an office with other developers,high school diploma or equivalent (GED),54000.0
software development and IT,Self-employed freelancer,male,Bengali,in an office with other developers,"some college credit, no degree",38400.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,24000.0
software development and IT,Employed for wages,female,Russian,in an office with other developers,master's degree (non-professional),28800.0
office and administrative support,Employed for wages,male,Russian,in an office with other developers,master's degree (non-professional),18000.0
software development and IT,Self-employed freelancer,male,Serbo-Croatian,from home,bachelor's degree,24000.0
office and administrative support,Employed for wages,male,English,from home,"some college credit, no degree",67200.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",19200.0
software development and IT,Self-employed freelancer,male,Tamil,in an office with other developers,bachelor's degree,14400.0
software development and IT,Employed for wages,male,Serbo-Croatian,in an office with other developers,high school diploma or equivalent (GED),43200.0
software development and IT,Employed for wages,male,Russian,no preference,some high school,51600.0
software development and IT,Employed for wages,male,Bengali,no preference,bachelor's degree,66000.0
software development and IT,Self-employed freelancer,male,English,no preference,no high school (secondary school),18000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,Spanish,no preference,"trade, technical, or vocational training",42000.0
software development and IT,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),18000.0
office and administrative support,Employed for wages,male,Hindi,no preference,bachelor's degree,38400.0
finance,Employed for wages,male,Romanian,in an office with other developers,some high school,60000.0
software development and IT,Employed for wages,male,Portuguese,from home,"some college credit, no degree",34860.0
office and administrative support,Employed for wages,male,Portuguese,from home,bachelor's degree,25200.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",48000.0
software development and IT,Employed for wages,male,Nepali,no preference,"some college credit, no degree",60000.0
"arts, entertainment, sports, or media",Employed for wages,male,Telugu,in an office with other developers,bachelor's degree,18120.0
software development and IT,Employed for wages,male,Portuguese,no preference,high school diploma or equivalent (GED),24000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",48000.0
sales,Employed for wages,female,Tamil,in an office with other developers,bachelor's degree,24468.0
software development and IT,Employed for wages,male,Urdu,no preference,bachelor's degree,36000.0
sales,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",14400.0
software development and IT,Self-employed freelancer,female,Serbo-Croatian,no preference,"some college credit, no degree",36000.0
transportation,Employed for wages,male,Urdu,from home,bachelor's degree,57600.0
office and administrative support,Employed for wages,male,English,no preference,master's degree (non-professional),48000.0
office and administrative support,Employed for wages,male,Spanish,in an office with other developers,high school diploma or equivalent (GED),12336.0
software development and IT,Employed for wages,male,English,from home,"some college credit, no degree",48000.0
software development and IT,Employed for wages,male,Romanian,in an office with other developers,high school diploma or equivalent (GED),16800.0
sales,Employed for wages,male,Russian,in an office with other developers,master's degree (non-professional),43200.0
software development and IT,Self-employed business owner,male,English,no preference,"trade, technical, or vocational training",48000.0
office and administrative support,Self-employed freelancer,male,Serbo-Croatian,from home,bachelor's degree,43200.0
food and beverage,Employed for wages,male,English,in an office with other developers,some high school,26400.0
food and beverage,Employed for wages,male,Spanish,from home,bachelor's degree,60000.0
software development and IT,Self-employed freelancer,male,English,from home,associate's degree,36000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,12000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",42000.0
health care,Employed for wages,female,Serbo-Croatian,no preference,bachelor's degree,43200.0
software development and IT,Employed for wages,female,Portuguese,in an office with other developers,bachelor's degree,48000.0
office and administrative support,Employed for wages,male,Tagalog,no preference,associate's degree,48000.0
construction and extraction,Employed for wages,male,Portuguese,in an office with other developers,high school diploma or equivalent (GED),9000.0
software development and IT,Employed for wages,male,Nepali,no preference,some high school,24000.0
education,Employed for wages,male,English,from home,high school diploma or equivalent (GED),60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,associate's degree,12000.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",24000.0
office and administrative support,Employed for wages,female,Polish,in an office with other developers,"some college credit, no degree",60000.0
office and administrative support,Employed for wages,female,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,Hindi,no preference,bachelor's degree,49200.0
education,Employed for wages,male,English,no preference,bachelor's degree,60000.0
education,Employed for wages,female,English,in an office with other developers,"some college credit, no degree",60000.0
education,Employed for wages,female,English,in an office with other developers,some high school,8400.0
software development and IT,Employed for wages,male,English,no preference,some high school,43200.0
software development and IT,Self-employed freelancer,male,Punjabi,no preference,"professional degree (MBA, MD, JD, etc.)",36000.0
health care,Employed for wages,female,Croatian,no preference,master's degree (non-professional),48000.0
finance,Employed for wages,male,Finnish,in an office with other developers,"some college credit, no degree",24000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,60000.0
sales,Employed for wages,male,Serbian,in an office with other developers,bachelor's degree,42000.0
food and beverage,Employed for wages,female,Hebrew,in an office with other developers,high school diploma or equivalent (GED),60000.0
health care,Employed for wages,female,Arabic,from home,bachelor's degree,36000.0
software development and IT,Employed for wages,male,Serbian,in an office with other developers,bachelor's degree,43200.0
software development and IT,Self-employed freelancer,male,English,from home,high school diploma or equivalent (GED),12000.0
education,Employed for wages,male,Russian,in an office with other developers,"some college credit, no degree",60000.0
health care,Employed for wages,male,Malayalam,in an office with other developers,master's degree (non-professional),54240.0
software development and IT,Self-employed business owner,male,English,in an office with other developers,some high school,12000.0
software development and IT,Employed for wages,male,Russian,no preference,bachelor's degree,28800.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,"some college credit, no degree",12000.0
"arts, entertainment, sports, or media",Employed for wages,male,Danish,in an office with other developers,high school diploma or equivalent (GED),27600.0
office and administrative support,Employed for wages,male,Swahili,in an office with other developers,high school diploma or equivalent (GED),39600.0
software development and IT,Self-employed freelancer,male,Arabic,in an office with other developers,bachelor's degree,18000.0
sales,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,36000.0
health care,Employed for wages,male,Urdu,in an office with other developers,"some college credit, no degree",60000.0
software development and IT,Employed for wages,male,Maithili,from home,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,36000.0
"arts, entertainment, sports, or media",Employed for wages,female,English,in an office with other developers,"some college credit, no degree",18000.0
office and administrative support,Employed for wages,male,Portuguese,from home,"some college credit, no degree",48000.0
software development and IT,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",36000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),60000.0
software development and IT,Employed for wages,male,Serbian,no preference,bachelor's degree,14400.0
health care,Employed for wages,female,English,no preference,"some college credit, no degree",24000.0
software development and IT,Employed for wages,female,English,from home,bachelor's degree,24000.0
finance,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,no preference,"some college credit, no degree",48000.0
"arts, entertainment, sports, or media",Employed for wages,female,Russian,in an office with other developers,bachelor's degree,42000.0
software development and IT,Self-employed freelancer,male,Urdu,in an office with other developers,associate's degree,14400.0
education,Employed for wages,female,Dutch,in an office with other developers,bachelor's degree,6000.0
software development and IT,Self-employed freelancer,male,Marathi,from home,bachelor's degree,12000.0
software development and IT,Employed for wages,female,Tamil,in an office with other developers,master's degree (non-professional),45600.0
sales,Employed for wages,male,Afrikaans,in an office with other developers,"some college credit, no degree",60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,18000.0
software development and IT,Employed for wages,female,English,in an office with other developers,bachelor's degree,48000.0
software development and IT,Self-employed freelancer,male,English,no preference,bachelor's degree,36000.0
food and beverage,Employed for wages,male,English,no preference,"some college credit, no degree",66000.0
software development and IT,Self-employed freelancer,male,Portuguese,from home,"some college credit, no degree",24000.0
software development and IT,Employed for wages,male,Kannada,in an office with other developers,bachelor's degree,36000.0
software development and IT,Self-employed freelancer,female,English,from home,"some college credit, no degree",60000.0
software development and IT,Self-employed freelancer,female,English,from home,"professional degree (MBA, MD, JD, etc.)",51600.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,48000.0
software development and IT,Employed for wages,male,English,no preference,bachelor's degree,6000.0
office and administrative support,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",18000.0
transportation,Employed for wages,male,Bosnian,from home,bachelor's degree,60000.0
sales,Self-employed freelancer,male,Ukrainian,in an office with other developers,high school diploma or equivalent (GED),30000.0
software development and IT,Employed for wages,male,Wolof,in an office with other developers,"some college credit, no degree",14400.0
"arts, entertainment, sports, or media",Employed for wages,female,English,from home,bachelor's degree,24000.0
software development and IT,Employed for wages,female,English,no preference,associate's degree,18000.0
food and beverage,Employed for wages,male,English,in an office with other developers,some high school,36000.0
software development and IT,Employed for wages,female,Yue (Cantonese) Chinese,in an office with other developers,high school diploma or equivalent (GED),36000.0
office and administrative support,Employed for wages,male,Hungarian,no preference,bachelor's degree,42000.0
"arts, entertainment, sports, or media",Self-employed freelancer,male,English,in an office with other developers,master's degree (non-professional),48000.0
architecture or physical engineering,Employed for wages,male,Polish,in an office with other developers,no high school (secondary school),60000.0
food and beverage,Employed for wages,male,English,in an office with other developers,some high school,60000.0
construction and extraction,Employed for wages,male,English,no preference,"trade, technical, or vocational training",60000.0
food and beverage,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),53772.0
software development and IT,Self-employed freelancer,male,Spanish,from home,"some college credit, no degree",36000.0
sales,Self-employed business owner,male,Spanish,from home,"some college credit, no degree",18660.0
software development and IT,Self-employed business owner,male,Ukrainian,no preference,master's degree (non-professional),36000.0
software development and IT,Self-employed freelancer,male,Romanian,in an office with other developers,master's degree (non-professional),36000.0
software development and IT,Self-employed freelancer,male,Oriya,no preference,bachelor's degree,36000.0
food and beverage,Employed for wages,female,English,from home,"some college credit, no degree",24000.0
software development and IT,Employed for wages,female,Serbian,no preference,bachelor's degree,36000.0
office and administrative support,Self-employed freelancer,male,Marathi,from home,bachelor's degree,12000.0
software development and IT,Employed for wages,male,Odia (Oriya),no preference,bachelor's degree,57084.0
office and administrative support,Employed for wages,male,Russian,no preference,bachelor's degree,37200.0
software development and IT,Employed for wages,male,Russian,from home,bachelor's degree,48000.0
architecture or physical engineering,Employed for wages,male,Russian,no preference,high school diploma or equivalent (GED),60000.0
health care,Self-employed freelancer,male,English,no preference,bachelor's degree,36000.0
transportation,Employed for wages,male,Russian,in an office with other developers,associate's degree,66000.0
"farming, fishing, and forestry",Self-employed business owner,male,English,in an office with other developers,some high school,12000.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,associate's degree,32400.0
education,Employed for wages,female,English,in an office with other developers,"professional degree (MBA, MD, JD, etc.)",12000.0
software development and IT,Employed for wages,male,Spanish,no preference,high school diploma or equivalent (GED),48000.0
education,Self-employed freelancer,male,Russian,from home,no high school (secondary school),6000.0
software development and IT,Employed for wages,male,Kannada,in an office with other developers,bachelor's degree,8820.0
software development and IT,Employed for wages,male,Ukrainian,in an office with other developers,master's degree (non-professional),48000.0
education,Employed for wages,male,English,no preference,bachelor's degree,36000.0
architecture or physical engineering,Employed for wages,female,Russian,from home,bachelor's degree,24000.0
software development and IT,Self-employed freelancer,male,Russian,from home,no high school (secondary school),28800.0
software development and IT,Employed for wages,male,Russian,in an office with other developers,bachelor's degree,24000.0
education,Employed for wages,male,English,in an office with other developers,associate's degree,48000.0
software development and IT,Self-employed freelancer,male,Serbian,in an office with other developers,"some college credit, no degree",36000.0
software development and IT,Self-employed freelancer,male,English,in an office with other developers,"some college credit, no degree",36000.0
software development and IT,Self-employed freelancer,male,Telugu,no preference,bachelor's degree,60000.0
food and beverage,Employed for wages,male,English,no preference,high school diploma or equivalent (GED),60000.0
software development and IT,Employed for wages,male,Finnish,in an office with other developers,bachelor's degree,60000.0
software development and IT,Employed for wages,male,Serbian,in an office with other developers,bachelor's degree,62400.0
software development and IT,Self-employed freelancer,male,Dutch,in an office with other developers,high school diploma or equivalent (GED),6000.0
education,Employed for wages,male,Russian,no preference,high school diploma or equivalent (GED),60000.0
architecture or physical engineering,Employed for wages,male,Spanish,in an office with other developers,bachelor's degree,7200.0
"farming, fishing, and forestry",Employed for wages,male,English,no preference,bachelor's degree,60000.0
software development and IT,Employed for wages,male,English,in an office with other developers,bachelor's degree,12000.0
software development and IT,Self-employed freelancer,male,Tamil,in an office with other developers,bachelor's degree,43200.0
software development and IT,Employed for wages,male,Russian,from home,master's degree (non-professional),34560.0
food and beverage,Employed for wages,male,English,in an office with other developers,"some college credit, no degree",60000.0
food and beverage,Employed for wages,female,English,no preference,associate's degree,15600.0
software development and IT,Employed for wages,male,Marathi,in an office with other developers,master's degree (non-professional),67500.0
